Time;cpu
2016-09-07 05:36:48.084;1.42
2016-09-07 05:37:18.103;1.12
2016-09-07 05:37:48.084;1.05
2016-09-07 05:38:18.104;0.77
2016-09-07 05:38:48.085;0.97
2016-09-07 05:39:18.107;0.74
2016-09-07 05:39:48.088;0.63
2016-09-07 05:40:18.105;0.66
2016-09-07 05:40:48.089;0.48
2016-09-07 05:41:18.115;0.76
2016-09-07 05:41:48.091;1.14
2016-09-07 05:42:18.110;1.41
2016-09-07 05:42:48.093;1.37
2016-09-07 05:43:18.116;1.24
2016-09-07 05:43:48.092;1.54
2016-09-07 05:44:18.110;1.07
2016-09-07 05:44:48.094;1.4
2016-09-07 05:45:18.107;1.5
2016-09-07 05:45:48.097;1.57
2016-09-07 05:46:18.112;1.64
2016-09-07 05:46:48.095;1.1
2016-09-07 05:47:18.107;0.9
2016-09-07 05:47:48.098;0.97
2016-09-07 05:48:18.112;0.81
2016-09-07 05:48:48.100;0.96
2016-09-07 05:49:18.118;0.65
2016-09-07 05:49:48.100;1.09
2016-09-07 05:50:18.108;0.76
2016-09-07 05:50:48.104;0.46
2016-09-07 05:51:18.123;0.89
2016-09-07 05:51:48.104;0.81
2016-09-07 05:52:18.128;1.35
2016-09-07 05:52:48.104;1.44
2016-09-07 05:53:18.123;1.54
2016-09-07 05:53:48.117;1.44
2016-09-07 05:54:18.106;1.5
2016-09-07 05:54:48.126;1.63
2016-09-07 05:55:18.109;1.66
2016-09-07 05:55:48.133;1.65
2016-09-07 05:56:18.110;1.34
2016-09-07 05:56:48.134;1.07
2016-09-07 05:57:18.112;1.16
2016-09-07 05:57:48.134;1.18
2016-09-07 05:58:18.113;0.93
2016-09-07 05:58:48.137;0.97
2016-09-07 05:59:18.115;0.81
2016-09-07 05:59:48.138;0.8
2016-09-07 06:00:18.116;0.64
2016-09-07 06:00:48.137;0.69
2016-09-07 06:01:18.118;0.66
2016-09-07 06:01:48.132;0.51
2016-09-07 06:02:18.118;0.98
2016-09-07 06:02:48.146;1.38
2016-09-07 06:03:18.120;1.69
2016-09-07 06:03:48.143;1.58
2016-09-07 06:04:18.122;1.75
2016-09-07 06:04:48.145;1.85
2016-09-07 06:05:18.123;2.37
2016-09-07 06:05:48.135;1.94
2016-09-07 06:06:18.137;1.85
2016-09-07 06:06:48.125;1.91
2016-09-07 06:07:18.147;1.42
2016-09-07 06:07:48.126;1.1
2016-09-07 06:08:18.146;1.38
2016-09-07 06:08:48.127;0.96
2016-09-07 06:09:18.144;0.85
2016-09-07 06:09:48.128;0.8
2016-09-07 06:10:18.151;0.48
2016-09-07 06:10:48.131;0.57
2016-09-07 06:11:18.144;1.04
2016-09-07 06:11:48.132;0.92
2016-09-07 06:12:18.160;1.22
2016-09-07 06:12:48.133;1.45
2016-09-07 06:13:18.152;1.82
2016-09-07 06:13:48.135;1.85
2016-09-07 06:14:18.157;1.54
2016-09-07 06:14:48.137;1.72
2016-09-07 06:15:18.163;1.82
2016-09-07 06:15:48.138;1.63
2016-09-07 06:16:18.156;1.55
2016-09-07 06:16:48.140;1.05
2016-09-07 06:17:18.160;0.9
2016-09-07 06:17:48.146;0.8
2016-09-07 06:18:18.158;0.59
2016-09-07 06:18:48.141;0.52
2016-09-07 06:19:18.155;0.56
2016-09-07 06:19:48.142;0.59
2016-09-07 06:20:18.164;0.36
2016-09-07 06:20:48.144;0.4
2016-09-07 06:21:18.169;0.61
2016-09-07 06:21:48.145;0.47
2016-09-07 06:22:18.156;0.39
2016-09-07 06:22:48.147;0.91
2016-09-07 06:23:18.162;1.34
2016-09-07 06:23:48.147;1.62
2016-09-07 06:24:18.165;1.56
2016-09-07 06:24:48.150;1.52
2016-09-07 06:25:18.164;1.73
2016-09-07 06:25:48.153;2.15
2016-09-07 06:26:18.169;1.82
2016-09-07 06:26:48.153;1.47
2016-09-07 06:27:18.160;1.15
2016-09-07 06:27:48.154;1.09
2016-09-07 06:28:18.168;0.82
2016-09-07 06:28:48.156;0.77
2016-09-07 06:29:18.174;0.73
2016-09-07 06:29:48.158;0.69
2016-09-07 06:30:18.170;0.48
2016-09-07 06:30:48.158;0.55
2016-09-07 06:31:18.178;0.62
2016-09-07 06:31:48.161;0.44
2016-09-07 06:32:18.182;0.41
2016-09-07 06:32:48.161;0.69
2016-09-07 06:33:18.177;1.19
2016-09-07 06:33:48.163;1.51
2016-09-07 06:34:18.198;1.7
2016-09-07 06:34:48.165;1.89
2016-09-07 06:35:18.184;1.88
2016-09-07 06:35:48.166;1.78
2016-09-07 06:36:18.189;1.69
2016-09-07 06:36:48.169;1.57
2016-09-07 06:37:18.207;1.74
2016-09-07 06:37:48.169;1.78
2016-09-07 06:38:18.189;1.4
2016-09-07 06:38:48.171;1.85
2016-09-07 06:39:18.193;1.43
2016-09-07 06:39:48.174;1.56
2016-09-07 06:40:18.193;1.35
2016-09-07 06:40:48.175;1.06
2016-09-07 06:41:18.194;0.9
2016-09-07 06:41:48.186;0.55
2016-09-07 06:42:18.185;0.53
2016-09-07 06:42:48.177;0.4
2016-09-07 06:43:18.198;0.72
2016-09-07 06:43:48.178;1.28
2016-09-07 06:44:18.196;1.65
2016-09-07 06:44:48.181;1.78
2016-09-07 06:45:18.196;1.88
2016-09-07 06:45:48.183;1.93
2016-09-07 06:46:18.206;1.84
2016-09-07 06:46:48.184;1.56
2016-09-07 06:47:18.200;1.73
2016-09-07 06:47:48.184;1.72
2016-09-07 06:48:18.197;1.33
2016-09-07 06:48:48.187;1.23
2016-09-07 06:49:18.211;0.75
2016-09-07 06:49:48.187;0.9
2016-09-07 06:50:18.204;1.07
2016-09-07 06:50:48.190;0.65
2016-09-07 06:51:18.210;0.59
2016-09-07 06:51:48.191;0.59
2016-09-07 06:52:18.208;0.62
2016-09-07 06:52:48.193;0.43
2016-09-07 06:53:18.215;0.77
2016-09-07 06:53:48.194;0.6
2016-09-07 06:54:18.212;0.87
2016-09-07 06:54:48.194;1.32
2016-09-07 06:55:18.212;1.73
2016-09-07 06:55:48.198;1.84
2016-09-07 06:56:18.216;1.72
2016-09-07 06:56:48.209;1.9
2016-09-07 06:57:18.216;1.72
2016-09-07 06:57:48.201;1.83
2016-09-07 06:58:18.218;1.68
2016-09-07 06:58:48.203;1.15
2016-09-07 06:59:18.221;0.91
2016-09-07 06:59:48.202;1.12
2016-09-07 07:00:18.224;1.52
2016-09-07 07:00:48.203;1.25
2016-09-07 07:01:18.220;1.24
2016-09-07 07:01:48.207;0.8
2016-09-07 07:02:18.240;0.65
